N,phase,status,runtime_sec,objective_value,total_emissions,total_cost,buffers_count,num_vars,num_constraints,mip_gap
2,A,OPTIMAL,2,fct_obj.,Emiss,tot_cst.,1,,,
3,A,OPTIMAL,3,fct_obj.,Emiss,tot_cst.,2,,,
4,A,OPTIMAL,3,fct_obj.,Emiss,tot_cst.,3,,,
5,A,OPTIMAL,3,fct_obj.,Emiss,tot_cst.,3,,,
6,A,OPTIMAL,3,fct_obj.,Emiss,tot_cst.,4,,,
7,A,OPTIMAL,3,fct_obj.,Emiss,tot_cst.,4,,,
8,A,OPTIMAL,3,fct_obj.,Emiss,tot_cst.,3,,,
10,A,OPTIMAL,9,fct_obj.,Emiss,tot_cst.,4,,,
13,B,OPTIMAL,6,fct_obj.,Emiss,tot_cst.,7,,,
15,B,OPTIMAL,9,fct_obj.,Emiss,tot_cst.,8,,,
20,B,UNKNOWN,0,,,,,,,
25,B,UNKNOWN,0,,,,,,,
26,B,OPTIMAL,9,fct_obj.,Emiss,tot_cst.,1,,,
30,B,OPTIMAL,17,fct_obj.,Emiss,tot_cst.,1,,,
35,C,OPTIMAL,34,fct_obj.,Emiss,tot_cst.,9,,,
40,C,UNKNOWN,0,,,,,,,
50,C,UNKNOWN,0,,,,,,,
60,C,UNKNOWN,0,,,,,,,
80,C,OPTIMAL,9,fct_obj.,Emiss,tot_cst.,5,,,
90,C,UNKNOWN,0,,,,,,,
100,C,UNKNOWN,0,,,,,,,
123,C,UNKNOWN,0,,,,,,,
150,C,UNKNOWN,1,,,,,,,
