Cost;DIO;WIP;Emissions;Epsilon;Prefix
3104390;147;9011400;7042058;7042058;MOBJ-bom_26_CEMIS_0
2179870;179;5347400;12499458;12513260.444444;MOBJ-bom_26_CEMIS_1
1477960;221;2874400;17973160;17984462.888889;MOBJ-bom_26_CEMIS_2
1224700;265;2134640;23399050;23455665.333333;MOBJ-bom_26_CEMIS_3
1013400;311;1650000;28926100;28926867.777778;MOBJ-bom_26_CEMIS_4
918780;365;1650000;34331800;34398070.222222;MOBJ-bom_26_CEMIS_5
871960;411;1750000;39823900;39869272.666667;MOBJ-bom_26_CEMIS_6
867120;432;1750000;41622400;45340475.111111;MOBJ-bom_26_CEMIS_7
867120;485;1750000;46902400;50811677.555556;MOBJ-bom_26_CEMIS_8
867120;485;1750000;46902400;56282880;MOBJ-bom_26_CEMIS_9
