Cost;DIO;WIP;Emissions;Epsilon;Prefix
66492;24;149380;1498900;1498900;MOBJ-bom_5_CEMIS_0
60260;24;133300;1503000;1761715.5555556;MOBJ-bom_5_CEMIS_1
60260;24;133300;1503000;2024531.1111111;MOBJ-bom_5_CEMIS_2
51555;28;112100;2253700;2287346.6666667;MOBJ-bom_5_CEMIS_3
51555;28;112100;2253700;2550162.2222222;MOBJ-bom_5_CEMIS_4
48815;30;105700;2646200;2812977.7777778;MOBJ-bom_5_CEMIS_5
48640;31;105700;2932200;3075793.3333333;MOBJ-bom_5_CEMIS_6
48640;32;105700;3220200;3338608.8888889;MOBJ-bom_5_CEMIS_7
48640;32;105700;3220200;3601424.4444444;MOBJ-bom_5_CEMIS_8
48640;32;105700;3220200;3864240;MOBJ-bom_5_CEMIS_9
