nb_nodes;nb_suppliers; #  ligne obligatoire : les noeud 0..nb_nodes et les suppliers 0..nbsuppliers-1 
150;10;
id_nodes;list_suppliers;  #  Attention 2 separateurs
7;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
9;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
21;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
23;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
31;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
38;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
40;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
49;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
51;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
54;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
57;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
59;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
61;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
63;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
65;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
67;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
68;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
72;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
73;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
77;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
80;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
81;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
83;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
85;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
86;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
88;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
89;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
90;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
92;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
93;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
94;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
96;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
97;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
98;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
99;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
100;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
102;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
103;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
104;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
105;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
106;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
108;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
109;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
110;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
111;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
112;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
113;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
114;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
115;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
116;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
117;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
118;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
119;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
120;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
121;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
122;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
123;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
124;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
125;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
126;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
127;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
128;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
129;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
130;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
131;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
132;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
133;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
134;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
135;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
136;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
137;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
138;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
139;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
140;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
141;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
142;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
143;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
144;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
145;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
146;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
147;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
148;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
149;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
150;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
