ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;0;0.25;0.5;0.8;1;0;0;0;0;
1;2;0;720;1;0.25;0.5;0.8;1;0;7200;720;1500;
2;2;1;150;1;0.25;0.5;0.8;1;0;4500;450;1500;
3;2;1;140;1;0.25;0.5;0.8;1;0;4400;440;1500;
4;2;1;130;1;0.25;0.5;0.8;1;0;4300;430;1500;
5;2;1;125;1;0.25;0.5;0.8;1;0;4200;420;1500;
6;2;1;120;1;0.25;0.5;0.8;1;0;4100;410;1500;
7;2;0;680;1;0.25;0.5;0.8;1;0;6800;680;1500;
8;4;7;160;1;0.25;0.5;0.8;1;0;4800;480;1500;
9;3;8;95;2;0.25;0.5;0.8;1;0;3200;320;1500;
10;5;9;25;6;0.25;0.5;0.8;1;0;3000;300;1500;
11;6;10;18;12;0.25;0.5;0.8;1;0;2800;280;1500;
