ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;0;0.25;0.5;0.8;1;0;0;0;0;
1;2;0;700;1;0.25;0.5;0.8;1;0;7000;700;1500;
2;2;0;650;1;0.25;0.5;0.8;1;0;6500;650;1500;
3;2;0;600;1;0.25;0.5;0.8;1;0;6000;600;1500;
4;2;0;750;1;0.25;0.5;0.8;1;0;7500;750;1500;
5;4;4;180;1;0.25;0.5;0.8;1;0;5600;560;1500;
6;3;4;120;2;0.25;0.5;0.8;1;0;3900;390;1500;
7;5;5;35;6;0.25;0.5;0.8;1;0;3600;360;1500;
8;6;6;40;2;0.25;0.5;0.8;1;0;3200;320;1500;
9;4;5;27;4;0.25;0.5;0.8;1;0;3100;310;1500;
10;5;6;32;3;0.25;0.5;0.8;1;0;2900;290;1500;
