ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;0;0.25;0.5;0.8;1;0;0;0;0;
1;2;0;850;1;0.25;0.5;0.8;1;0;8500;850;1500;
2;2;1;210;1;0.25;0.5;0.8;1;0;6300;630;1500;
3;2;1;200;1;0.25;0.5;0.8;1;0;6200;620;1500;
4;2;1;190;1;0.25;0.5;0.8;1;0;6100;610;1500;
5;2;1;180;1;0.25;0.5;0.8;1;0;6000;600;1500;
6;2;1;170;1;0.25;0.5;0.8;1;0;5900;590;1500;
7;2;1;160;1;0.25;0.5;0.8;1;0;5800;580;1500;
8;2;1;150;1;0.25;0.5;0.8;1;0;5700;570;1500;
9;2;0;750;1;0.25;0.5;0.8;1;0;7500;750;1500;
10;4;9;190;1;0.25;0.5;0.8;1;0;6000;600;1500;
11;3;9;130;2;0.25;0.5;0.8;1;0;4200;420;1500;
12;5;10;40;6;0.25;0.5;0.8;1;0;3800;380;1500;
13;6;11;50;2;0.25;0.5;0.8;1;0;3400;340;1500;
14;4;10;30;4;0.25;0.5;0.8;1;0;3300;330;1500;
15;5;11;38;3;0.25;0.5;0.8;1;0;3100;310;1500;
16;6;12;25;5;0.25;0.5;0.8;1;0;2800;280;1500;
17;4;13;22;2;0.25;0.5;0.8;1;0;2600;260;1500;
18;5;14;28;4;0.25;0.5;0.8;1;0;2700;270;1500;
19;6;15;24;3;0.25;0.5;0.8;1;0;2400;240;1500;
20;4;16;20;6;0.25;0.5;0.8;1;0;2300;230;1500;
21;2;0;700;1;0.25;0.5;0.8;1;0;7000;700;1500;
22;2;0;650;1;0.25;0.5;0.8;1;0;6500;650;1500;
23;2;0;600;1;0.25;0.5;0.8;1;0;6000;600;1500;
24;2;0;550;1;0.25;0.5;0.8;1;0;5500;550;1500;
