ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;0;0.25;0.5;0.8;1;0;0;0;0;
1;2;0;800;1;0.25;0.5;0.8;1;0;8000;800;1500;
2;4;1;190;1;0.25;0.5;0.8;1;0;6000;600;1500;
3;3;1;125;2;0.25;0.5;0.8;1;0;4200;420;1500;
4;5;2;35;6;0.25;0.5;0.8;1;0;3600;360;1500;
5;6;3;45;2;0.25;0.5;0.8;1;0;3200;320;1500;
6;4;2;27;4;0.25;0.5;0.8;1;0;3100;310;1500;
7;5;3;32;3;0.25;0.5;0.8;1;0;2900;290;1500;
8;6;4;20;5;0.25;0.5;0.8;1;0;2600;260;1500;
9;4;5;18;2;0.25;0.5;0.8;1;0;2400;240;1500;
