ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;3000;1;0,25;0,5;0,8;1;0;8000;800;1500
2;4;1;850;1;0,25;0,5;0,8;1;0;7500;750;1500
3;3;1;820;1;0,25;0,5;0,8;1;0;7200;720;1500
4;5;2;680;1;0,25;0,5;0,8;1;0;6800;680;1500
5;6;2;650;1;0,25;0,5;0,8;1;0;6500;650;1500
6;4;3;720;1;0,25;0,5;0,8;1;0;7100;710;1500
7;3;3;700;1;0,25;0,5;0,8;1;0;7000;700;1500
8;5;4;580;1;0,25;0,5;0,8;1;0;5800;580;1500
9;6;4;560;1;0,25;0,5;0,8;1;0;5600;560;1500
10;4;5;540;1;0,25;0,5;0,8;1;0;5400;540;1500
11;3;5;520;1;0,25;0,5;0,8;1;0;5200;520;1500
12;5;6;500;1;0,25;0,5;0,8;1;0;5000;500;1500
13;6;6;480;1;0,25;0,5;0,8;1;0;4800;480;1500
14;4;7;460;1;0,25;0,5;0,8;1;0;4600;460;1500
15;3;7;440;1;0,25;0,5;0,8;1;0;4400;440;1500
16;5;8;420;1;0,25;0,5;0,8;1;0;4200;420;1500
17;6;8;400;1;0,25;0,5;0,8;1;0;4000;400;1500
18;4;9;380;1;0,25;0,5;0,8;1;0;3800;380;1500
19;3;9;360;1;0,25;0,5;0,8;1;0;3600;360;1500
20;5;10;340;1;0,25;0,5;0,8;1;0;3400;340;1500
21;6;10;320;1;0,25;0,5;0,8;1;0;3200;320;1500
22;4;11;300;1;0,25;0,5;0,8;1;0;3000;300;1500
23;3;11;280;1;0,25;0,5;0,8;1;0;2800;280;1500
24;5;12;260;1;0,25;0,5;0,8;1;0;2600;260;1500
25;6;12;240;1;0,25;0,5;0,8;1;0;2400;240;1500
26;4;13;220;1;0,25;0,5;0,8;1;0;2200;220;1500
27;3;13;200;1;0,25;0,5;0,8;1;0;2000;200;1500
28;5;14;180;1;0,25;0,5;0,8;1;0;1800;180;1500
29;6;14;160;1;0,25;0,5;0,8;1;0;1600;160;1500
30;4;15;140;1;0,25;0,5;0,8;1;0;1400;140;1500
