ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;5000;1;0,25;0,5;0,8;1;0;10000;1000;1500
2;4;1;1100;1;0,25;0,5;0,8;1;0;9200;920;1500
3;3;1;1080;1;0,25;0,5;0,8;1;0;9000;900;1500
4;5;2;1060;1;0,25;0,5;0,8;1;0;8800;880;1500
5;6;2;1040;1;0,25;0,5;0,8;1;0;8600;860;1500
6;4;3;1020;1;0,25;0,5;0,8;1;0;8400;840;1500
7;3;3;1000;1;0,25;0,5;0,8;1;0;8200;820;1500
8;5;4;980;1;0,25;0,5;0,8;1;0;8000;800;1500
9;6;4;960;1;0,25;0,5;0,8;1;0;7800;780;1500
10;4;5;940;1;0,25;0,5;0,8;1;0;7600;760;1500
11;3;5;920;1;0,25;0,5;0,8;1;0;7400;740;1500
12;5;6;900;1;0,25;0,5;0,8;1;0;7200;720;1500
13;6;6;880;1;0,25;0,5;0,8;1;0;7000;700;1500
14;4;7;860;1;0,25;0,5;0,8;1;0;6800;680;1500
15;3;7;840;1;0,25;0,5;0,8;1;0;6600;660;1500
16;5;8;820;1;0,25;0,5;0,8;1;0;6400;640;1500
17;6;8;800;1;0,25;0,5;0,8;1;0;6200;620;1500
18;4;9;780;1;0,25;0,5;0,8;1;0;6000;600;1500
19;3;9;760;1;0,25;0,5;0,8;1;0;5800;580;1500
20;5;10;740;1;0,25;0,5;0,8;1;0;5600;560;1500
21;6;10;720;1;0,25;0,5;0,8;1;0;5400;540;1500
22;4;11;700;1;0,25;0,5;0,8;1;0;5200;520;1500
23;3;11;680;1;0,25;0,5;0,8;1;0;5000;500;1500
24;5;12;660;1;0,25;0,5;0,8;1;0;4800;480;1500
25;6;12;640;1;0,25;0,5;0,8;1;0;4600;460;1500
26;4;13;620;1;0,25;0,5;0,8;1;0;4400;440;1500
27;3;13;600;1;0,25;0,5;0,8;1;0;4200;420;1500
28;5;14;580;1;0,25;0,5;0,8;1;0;4000;400;1500
29;6;14;560;1;0,25;0,5;0,8;1;0;3800;380;1500
30;4;15;540;1;0,25;0,5;0,8;1;0;3600;360;1500
31;3;15;520;1;0,25;0,5;0,8;1;0;3400;340;1500
32;5;16;500;1;0,25;0,5;0,8;1;0;3200;320;1500
33;6;16;480;1;0,25;0,5;0,8;1;0;3000;300;1500
34;4;17;460;1;0,25;0,5;0,8;1;0;2800;280;1500
35;3;17;440;1;0,25;0,5;0,8;1;0;2600;260;1500
36;5;18;420;1;0,25;0,5;0,8;1;0;2400;240;1500
37;6;18;400;1;0,25;0,5;0,8;1;0;2200;220;1500
38;4;19;380;1;0,25;0,5;0,8;1;0;2000;200;1500
39;3;19;360;1;0,25;0,5;0,8;1;0;1800;180;1500
40;5;20;340;1;0,25;0,5;0,8;1;0;1600;160;1500
41;6;20;320;1;0,25;0,5;0,8;1;0;1400;140;1500
42;4;21;300;1;0,25;0,5;0,8;1;0;1200;120;1500
43;3;21;280;1;0,25;0,5;0,8;1;0;1000;100;1500
44;5;22;260;1;0,25;0,5;0,8;1;0;800;80;1500
45;6;22;240;1;0,25;0,5;0,8;1;0;600;60;1500
46;4;23;220;1;0,25;0,5;0,8;1;0;400;40;1500
47;3;23;200;1;0,25;0,5;0,8;1;0;300;30;1500
48;5;24;180;1;0,25;0,5;0,8;1;0;200;20;1500
49;6;24;160;1;0,25;0,5;0,8;1;0;150;15;1500
50;4;25;140;1;0,25;0,5;0,8;1;0;100;10;1500
51;3;25;120;1;0,25;0,5;0,8;1;0;80;8;1500
52;5;26;100;1;0,25;0,5;0,8;1;0;50;5;1500
53;6;26;80;1;0,25;0,5;0,8;1;0;30;3;1500
54;4;27;60;1;0,25;0,5;0,8;1;0;20;2;1500
55;3;27;40;1;0,25;0,5;0,8;1;0;15;1,5;1500
56;5;28;30;1;0,25;0,5;0,8;1;0;12;1,2;1500
57;6;28;20;1;0,25;0,5;0,8;1;0;10;1;1500
58;4;29;15;1;0,25;0,5;0,8;1;0;8;0,8;1500
59;3;29;10;1;0,25;0,5;0,8;1;0;5;0,5;1500
60;5;30;8;1;0,25;0,5;0,8;1;0;3;0,3;1500
61;6;30;5;1;0,25;0,5;0,8;1;0;2;0,2;1500
62;4;31;3;1;0,25;0,5;0,8;1;0;1;0,1;1500
63;3;31;2;1;0,25;0,5;0,8;1;0;1;0,1;1500
64;5;32;1;1;0,25;0,5;0,8;1;0;1;0,1;1500
65;6;32;1;1;0,25;0,5;0,8;1;0;1;0,1;1500
66;4;33;1;1;0,25;0,5;0,8;1;0;1;0,1;1500
67;3;33;1;1;0,25;0,5;0,8;1;0;1;0,1;1500
68;5;34;1;1;0,25;0,5;0,8;1;0;1;0,1;1500
69;6;34;1;1;0,25;0,5;0,8;1;0;1;0,1;1500
70;4;35;1;1;0,25;0,5;0,8;1;0;1;0,1;1500
