ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;10000;1;0,25;0,5;0,8;1;0;25000;2500;1500
2;5;1;900;1;0,25;0,5;0,8;1;0;22682;2268,2;1500
3;7;1;890;1;0,25;0,5;0,8;1;0;20974;2097,4;1500
4;6;1;910;3;0,25;0,5;0,8;1;0;19583;1958,3;1500
5;4;1;860;1;0,25;0,5;0,8;1;0;18009;1800,9;1500
6;4;1;880;2;0,25;0,5;0,8;1;0;17645;1764,5;1500
7;3;2;800;4;0,25;0,5;0,8;1;0;16014;1601,4;1500
8;3;2;780;2;0,25;0,5;0,8;1;0;15979;1597,9;1500
9;3;3;790;5;0,25;0,5;0,8;1;0;14870;1487;1500
10;4;3;750;1;0,25;0,5;0,8;1;0;13992;1399,2;1500
11;3;3;690;2;0,25;0,5;0,8;1;0;13272;1327,2;1500
12;5;4;660;3;0,25;0,5;0,8;1;0;13132;1313,2;1500
13;5;5;600;2;0,25;0,5;0,8;1;0;12365;1236,5;1500
14;4;5;640;1;0,25;0,5;0,8;1;0;11213;1121,3;1500
15;2;6;700;6;0,25;0,5;0,8;1;0;10522;1052,2;1500
16;4;6;660;2;0,25;0,5;0,8;1;0;9888;988,8;1500
17;6;6;580;4;0,25;0,5;0,8;1;0;9511;951,1;1500
18;3;6;550;2;0,25;0,5;0,8;1;0;9391;939,1;1500
19;3;8;570;2;0,25;0,5;0,8;1;0;8688;868,8;1500
20;5;8;600;4;0,25;0,5;0,8;1;0;8435;843,5;1500
21;7;10;540;7;0,25;0,5;0,8;1;0;7975;797,5;1500
22;6;10;510;2;0,25;0,5;0,8;1;0;7888;788,8;1500
23;3;10;590;5;0,25;0,5;0,8;1;0;7419;741,9;1500
24;4;11;400;10;0,25;0,5;0,8;1;0;6824;682,4;1500
