ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0;
1;9;0;2000;1;0,25;0,5;0,8;1;0;9000;900;1500;
2;4;1;180;1;0,25;0,5;0,8;1;0;4800;580;1500;
3;8;1;360;1;0,25;0,5;0,8;1;0;6800;680;1500;
4;5;1;150;3;0,25;0,5;0,8;1;0;3800;380;1500;
5;2;1;120;2;0,25;0,5;0,8;1;0;3100;310;1500;
6;8;2;110;3;0,25;0,5;0,8;1;0;3300;330;1500;
7;3;2;105;2;0,25;0,5;0,8;1;0;3600;360;1500;
8;6;2;100;1;0,25;0,5;0,8;1;0;2200;220;1500;
9;5;3;108;2;0,25;0,5;0,8;1;0;1850;185;1500;
10;9;3;98;3;0,25;0,5;0,8;1;0;1700;170;1500;
11;2;4;92;2;0,25;0,5;0,8;1;0;1750;175;1500;
12;1;4;88;3;0,25;0,5;0,8;1;0;1550;155;1500;
13;3;5;82;8;0,25;0,5;0,5;1;0;1600;160;1500;
14;1;5;86;6;0,25;0,5;0,5;1;0;1600;160;1500;
15;9;5;90;2;0,25;0,5;0,5;1;0;1600;160;1500;
16;9;6;84;9;0,25;0,5;0,5;1;0;2600;260;1500;
17;3;6;78;6;0,25;0,5;0,5;1;0;2500;250;1500;
18;7;7;75;2;0,25;0,5;0,5;1;0;2800;280;1500;
19;2;8;76;1;0,25;0,5;0,5;1;0;1700;170;1500;
20;9;8;80;2;0,25;0,5;0,5;1;0;1900;190;1500;
21;2;9;74;6;0,25;0,5;0,5;1;0;1550;155;1500;
22;6;9;71;4;0,25;0,5;0,5;1;0;1500;150;1500;
23;3;9;79;4;0,25;0,5;0,5;1;0;1450;145;1500;
24;6;10;70;3;0,25;0,5;0,5;1;0;1350;135;1500;
25;7;11;74;2;0,25;0,5;0,5;1;0;1400;140;1500;
26;3;12;72;3;0,25;0,5;0,5;1;0;1300;130;1500;
27;4;13;68;5;0,25;0,5;0,5;1;0;1250;125;1500;
28;5;14;66;4;0,25;0,5;0,5;1;0;1200;120;1500;
29;6;15;64;3;0,25;0,5;0,5;1;0;1150;115;1500;
30;7;16;62;2;0,25;0,5;0,5;1;0;1100;110;1500;
31;8;17;60;4;0,25;0,5;0,5;1;0;1050;105;1500;
32;9;18;58;3;0,25;0,5;0,5;1;0;1000;100;1500;
33;4;19;56;2;0,25;0,5;0,5;1;0;950;95;1500;
34;5;20;54;5;0,25;0,5;0,5;1;0;900;90;1500;
35;6;21;52;4;0,25;0,5;0,5;1;0;850;85;1500;
