ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0;
1;9;0;1500;1;0,25;0,5;0,8;1;0;8500;850;1500;
2;4;1;150;1;0,25;0,5;0,8;1;0;4200;520;1500;
3;8;1;310;1;0,25;0,5;0,8;1;0;6200;620;1500;
4;5;1;130;3;0,25;0,5;0,8;1;0;3400;340;1500;
5;2;1;100;2;0,25;0,5;0,8;1;0;2700;270;1500;
6;8;2;95;3;0,25;0,5;0,8;1;0;2900;290;1500;
7;3;2;90;2;0,25;0,5;0,8;1;0;3200;320;1500;
8;6;2;85;1;0,25;0,5;0,8;1;0;1900;190;1500;
9;5;3;88;2;0,25;0,5;0,8;1;0;1550;155;1500;
10;9;3;83;3;0,25;0,5;0,8;1;0;1400;140;1500;
11;2;4;77;2;0,25;0,5;0,8;1;0;1450;145;1500;
12;1;4;73;3;0,25;0,5;0,8;1;0;1250;125;1500;
13;3;5;67;8;0,25;0,5;0,5;1;0;1300;130;1500;
14;1;5;71;6;0,25;0,5;0,5;1;0;1300;130;1500;
15;9;5;75;2;0,25;0,5;0,5;1;0;1300;130;1500;
16;9;6;69;9;0,25;0,5;0,5;1;0;2300;230;1500;
17;3;6;63;6;0,25;0,5;0,5;1;0;2200;220;1500;
18;7;7;60;2;0,25;0,5;0,5;1;0;2500;250;1500;
19;2;8;61;1;0,25;0,5;0,5;1;0;1400;140;1500;
20;9;8;65;2;0,25;0,5;0,5;1;0;1600;160;1500;
21;2;9;59;6;0,25;0,5;0,5;1;0;1250;125;1500;
22;6;9;56;4;0,25;0,5;0,5;1;0;1200;120;1500;
23;3;9;64;4;0,25;0,5;0,5;1;0;1150;115;1500;
24;6;10;50;3;0,25;0,5;0,5;1;0;1050;105;1500;
25;7;11;54;2;0,25;0,5;0,5;1;0;1100;110;1500;
