N,phase,status,runtime_sec,objective_value,total_emissions,total_cost,buffers_count,num_vars,num_constraints,mip_gap
2,A,ERROR,1,,,,,,,
3,A,ERROR,1,,,,,,,
4,A,ERROR,1,,,,,,,
5,A,ERROR,1,,,,,,,
6,A,ERROR,1,,,,,,,
7,A,ERROR,1,,,,,,,
8,A,ERROR,1,,,,,,,
10,A,ERROR,1,,,,,,,
13,B,ERROR,1,,,,,,,
15,B,ERROR,1,,,,,,,
20,B,ERROR,1,,,,,,,
25,B,OPTIMAL,0.34,273094,31154440,273094,6,,,
26,B,OPTIMAL,0.06,867120,41574400,867120,1,,,
30,B,OPTIMAL,0.11,875780,49597500,875780,1,,,
35,C,OPTIMAL,0.34,358472,48310880,358472,9,,,
40,C,OPTIMAL,0.08,1200760,101719560,1200760,5,,,
50,C,OPTIMAL,0.08,1381460,194576659,1381460,5,,,
60,C,INFEASIBLE,0.02,,,,,,,
80,C,OPTIMAL,0.17,3375920,2592579835.4,3375920,5,,,
90,C,INFEASIBLE,0,,,,,,,
100,C,INFEASIBLE,0,,,,,,,
123,C,OPTIMAL,0.83,2562560,646956126.6,2562560,7,,,
150,C,INFEASIBLE,0.03,,,,,,,
