Cost;DIO;WIP;Emissions;Epsilon;Prefix
3104390;146;9011400;7042058;146;MOBJ-bom_26_CDIO_0
1785510;193;4102840;15239960;194.44444444444;MOBJ-bom_26_CDIO_1
1278720;242;2534200;22160300;242.88888888889;MOBJ-bom_26_CDIO_2
1048160;291;1852400;27592850;291.33333333333;MOBJ-bom_26_CDIO_3
941980;338;1650000;33322600;339.77777777778;MOBJ-bom_26_CDIO_4
881680;388;1750000;37954300;388.22222222222;MOBJ-bom_26_CDIO_5
867120;436;1750000;42210400;436.66666666667;MOBJ-bom_26_CDIO_6
867120;484;1750000;46902400;485.11111111111;MOBJ-bom_26_CDIO_7
867120;484;1750000;46902400;533.55555555556;MOBJ-bom_26_CDIO_8
867120;484;1750000;46902400;582;MOBJ-bom_26_CDIO_9
