Cost;DIO;WIP;Emissions;Epsilon;Prefix
60260;23;133300;1503000;23;MOBJ-bom_5_CDIO_0
60260;23;133300;1503000;24.711111111111;MOBJ-bom_5_CDIO_1
60260;23;133300;1503000;26.422222222222;MOBJ-bom_5_CDIO_2
51555;27;112100;2253700;28.133333333333;MOBJ-bom_5_CDIO_3
48815;29;105700;2646200;29.844444444444;MOBJ-bom_5_CDIO_4
48640;31;105700;3220200;31.555555555556;MOBJ-bom_5_CDIO_5
48640;31;105700;3220200;33.266666666667;MOBJ-bom_5_CDIO_6
48640;31;105700;3220200;34.977777777778;MOBJ-bom_5_CDIO_7
48640;31;105700;3220200;36.688888888889;MOBJ-bom_5_CDIO_8
48640;31;105700;3220200;38.4;MOBJ-bom_5_CDIO_9
