Cost;DIO;WIP;Emissions;Epsilon;Prefix
3104390;146;9011400;7042058;146;MOBJ-bom_26_CDIO_0
1785510;193;4102840;15239960;193.24444444444;MOBJ-bom_26_CDIO_1
1278720;240;2534200;21794300;240.48888888889;MOBJ-bom_26_CDIO_2
1055840;287;1852400;26874650;287.73333333333;MOBJ-bom_26_CDIO_3
947680;334;1650000;33202800;334.97777777778;MOBJ-bom_26_CDIO_4
886760;382;1750000;37761500;382.22222222222;MOBJ-bom_26_CDIO_5
868260;428;1750000;41688700;429.46666666667;MOBJ-bom_26_CDIO_6
867120;476;1750000;46182400;476.71111111111;MOBJ-bom_26_CDIO_7
867120;484;1750000;46902400;523.95555555556;MOBJ-bom_26_CDIO_8
867120;484;1750000;46902400;571.2;MOBJ-bom_26_CDIO_9
