nb_nodes;nb_suppliers; #  ligne obligatoire : les noeud 0..nb_nodes et les suppliers 0..nbsuppliers-1 
35;10;
id_nodes;list_suppliers;  #  Attention 2 separateurs
13;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
14;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
18;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
20;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
21;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
22;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
23;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
25;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
26;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
28;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
29;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
31;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
32;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
33;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
34;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
