N,phase,status,runtime_sec,objective_value,total_emissions,total_cost,buffers_count,num_vars,num_constraints,mip_gap
2,A,OPTIMAL,0.02,35520,112400,35520,1,,,
3,A,OPTIMAL,0.02,23600,237400,23600,2,,,
4,A,OPTIMAL,0.02,40920,461840,40920,3,,,
5,A,OPTIMAL,0.03,48640,2932200,48640,3,,,
6,A,OPTIMAL,0.05,42620,2681960,42620,4,,,
7,A,OPTIMAL,0.05,46120,3853590,46120,4,,,
8,A,OPTIMAL,0.05,53084,5587240,53084,3,,,
10,A,OPTIMAL,0.09,63273,9949345,63273,4,,,
13,B,OPTIMAL,0.03,116448,29495946,116448,7,,,
15,B,OPTIMAL,0.08,127452,33149700,127452,8,,,
20,B,OPTIMAL,0.69,239002,25445290,239002,6,,,
25,B,OPTIMAL,0.33,273094,31154440,273094,6,,,
26,B,OPTIMAL,0.13,867120,41574400,867120,1,,,
30,B,OPTIMAL,0.13,875780,49597500,875780,1,,,
35,C,OPTIMAL,0.39,358472,48310880,358472,9,,,
40,C,OPTIMAL,0.06,1200760,101719560,1200760,5,,,
50,C,OPTIMAL,0.08,1381460,194576659,1381460,5,,,
60,C,OPTIMAL,0.06,2417975,1787786670,2417975,5,,,
80,C,OPTIMAL,0.09,3375920,2592579835.4,3375920,5,,,
90,C,OPTIMAL,0.08,2436599,2147483647,2436599,14,,,
100,C,OPTIMAL,0.08,2795569,2147483647,2795569,18,,,
123,C,OPTIMAL,0.55,2562560,646956126.6,2562560,7,,,
150,C,OPTIMAL,0.14,3714089,2147483647,3714089,57,,,
