ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;9;0;2500;1;0,25;0,5;0,8;1;0;7000;700;1500
2;4;1;900;1;0,25;0,5;0,8;1;0;3500;450;1500
3;8;1;890;1;0,25;0,5;0,8;1;0;5500;550;1500
4;5;1;910;1;0,25;0,5;0,8;1;0;2800;280;1500
5;2;1;860;2;0,25;0,5;0,8;1;0;2350;235;1500
6;8;2;880;3;0,25;0,5;0,8;1;0;2600;260;1500
7;3;2;800;2;0,25;0,5;0,8;1;0;2900;290;1500
8;6;2;780;1;0,25;0,5;0,8;1;0;1600;160;1500
9;5;3;790;2;0,25;0,5;0,8;1;0;1250;125;1500
10;9;3;750;3;0,25;0,5;0,8;1;0;1120;112;1500
11;2;4;690;2;0,25;0,5;0,8;1;0;1200;120;1500
12;1;4;660;3;0,25;0,5;0,8;1;0;1000;100;1500
13;3;5;600;8;0,25;0,5;0,5;1;0;1100;110;1500
14;1;5;640;6;0,25;0,5;0,5;1;0;1100;110;1500
15;9;5;700;2;0,25;0,5;0,5;1;0;1100;110;1500
16;9;6;660;9;0,25;0,5;0,5;1;0;2100;210;1500
17;3;6;580;6;0,25;0,5;0,5;1;0;2000;200;1500
18;7;7;550;2;0,25;0,5;0,5;1;0;2300;230;1500
19;2;8;570;1;0,25;0,5;0,5;1;0;1200;120;1500
20;9;8;600;2;0,25;0,5;0,5;1;0;1400;140;1500
21;2;9;540;6;0,25;0,5;0,5;1;0;1150;115;1500
22;6;9;510;4;0,25;0,5;0,5;1;0;1100;110;1500
23;3;9;590;4;0,25;0,5;0,5;1;0;1050;105;1500
24;6;10;400;3;0,25;0,5;0,5;1;0;950;95;1500
25;7;11;490;2;0,25;0,5;0,5;1;0;1000;100;1500
26;3;12;480;3;0,25;0,5;0,5;1;0;900;90;1500
27;4;9;60;2;0,25;0,50;0,80;1;0;2100;210;1500;
28;5;9;70;3;0,25;0,50;0,80;1;0;2200;220;1500;
29;6;10;80;4;0,25;0,50;0,80;1;0;2300;230;1500;
30;7;11;90;5;0,25;0,50;0,80;1;0;2400;240;1500;
