ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;4500;1;0,25;0,5;0,8;1;0;9500;950;1500
2;5;1;880;1;0,25;0,5;0,8;1;0;9200;920;1500
3;7;1;870;1;0,25;0,5;0,8;1;0;8500;850;1500
4;6;1;890;1;0,25;0,5;0,8;1;0;7900;790;1500
5;4;1;840;2;0,25;0,5;0,8;1;0;7800;780;1500
6;4;2;860;3;0,25;0,5;0,8;1;0;7700;770;1500
7;3;2;780;2;0,25;0,5;0,8;1;0;7500;750;1500
8;3;2;760;1;0,25;0,5;0,8;1;0;6900;690;1500
9;3;3;770;2;0,25;0,5;0,8;1;0;6800;680;1500
10;4;3;730;3;0,25;0,5;0,8;1;0;6100;610;1500
11;3;4;670;2;0,25;0,5;0,8;1;0;6050;605;1500
12;5;4;640;3;0,25;0,5;0,8;1;0;6000;600;1500
13;5;5;580;8;0,25;0,5;0,5;1;0;5900;590;1500
14;4;5;620;6;0,25;0,5;0,5;1;0;5500;550;1500
15;2;5;680;2;0,25;0,5;0,5;1;0;5490;549;1500
16;4;6;640;9;0,25;0,5;0,5;1;0;5320;532;1500
17;6;6;560;6;0,25;0,5;0,5;1;0;5180;518;1500
18;3;7;530;2;0,25;0,5;0,5;1;0;5100;510;1500
19;3;8;550;1;0,25;0,5;0,5;1;0;4980;498;1500
20;5;8;580;2;0,25;0,5;0,5;1;0;4760;476;1500
21;7;9;520;6;0,25;0,5;0,5;1;0;4560;456;1500
22;6;9;490;4;0,25;0,5;0,5;1;0;4230;423;1500
23;3;9;570;4;0,25;0,5;0,5;1;0;3850;385;1500
24;4;10;380;3;0,25;0,5;0,5;1;0;3710;371;1500
25;3;11;470;2;0,25;0,5;0,5;1;0;3420;342;1500
26;3;12;460;3;0,25;0,5;0,5;1;0;3100;310;1500
27;5;12;500;6;0,25;0,5;0,5;1;0;2990;299;1500
28;4;13;380;16;0,25;0,5;0,5;1;0;2800;280;1500
29;3;14;460;6;0,25;0,5;0,5;1;0;2680;268;1500
30;2;14;470;18;0,25;0,5;0,5;1;0;2420;242;1500
31;5;16;440;9;0,25;0,5;0,5;1;0;2240;224;1500
32;4;16;480;9;0,25;0,5;0,5;1;0;2050;205;1500
33;3;18;450;6;0,25;0,5;0,5;1;0;1910;191;1500
34;3;18;280;4;0,25;0,5;0,5;1;0;1810;181;1500
35;5;20;360;4;0,25;0,5;0,5;1;0;1660;166;1500
36;4;23;310;8;0,25;0,5;0,5;1;0;1500;150;1500
37;3;23;320;12;0,25;0,5;0,5;1;0;1500;150;1500
38;4;27;330;6;0,25;0,5;0,5;1;0;1410;141;1500
39;6;30;340;18;0,25;0,5;0,5;1;0;1260;126;1500
40;4;30;290;54;0,25;0,5;0,5;1;0;1220;122;1500
