ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;8000;1;0,25;0,5;0,8;1;0;16000;1600;1500
2;5;1;980;1;0,25;0,5;0,8;1;0;9900;990;1500
3;7;1;970;1;0,25;0,5;0,8;1;0;9200;920;1500
4;6;1;990;1;0,25;0,5;0,8;1;0;8600;860;1500
5;4;1;940;2;0,25;0,5;0,8;1;0;8500;850;1500
6;4;2;960;3;0,25;0,5;0,8;1;0;8400;840;1500
7;3;2;880;2;0,25;0,5;0,8;1;0;8200;820;1500
8;3;2;860;1;0,25;0,5;0,8;1;0;7600;760;1500
9;3;3;870;2;0,25;0,5;0,8;1;0;7500;750;1500
10;4;3;830;3;0,25;0,5;0,8;1;0;6800;680;1500
11;3;4;770;2;0,25;0,5;0,8;1;0;6750;675;1500
12;5;4;740;3;0,25;0,5;0,8;1;0;6700;670;1500
13;5;5;680;8;0,25;0,5;0,5;1;0;6600;660;1500
14;4;5;720;6;0,25;0,5;0,5;1;0;6200;620;1500
15;2;5;780;2;0,25;0,5;0,5;1;0;6190;619;1500
16;4;6;740;9;0,25;0,5;0,5;1;0;6020;602;1500
17;6;6;660;6;0,25;0,5;0,5;1;0;5880;588;1500
18;3;7;630;2;0,25;0,5;0,5;1;0;5800;580;1500
19;3;8;650;1;0,25;0,5;0,5;1;0;5680;568;1500
20;5;8;680;2;0,25;0,5;0,5;1;0;5460;546;1500
21;7;9;620;6;0,25;0,5;0,5;1;0;5260;526;1500
22;6;9;590;4;0,25;0,5;0,5;1;0;4930;493;1500
23;3;9;670;4;0,25;0,5;0,5;1;0;4550;455;1500
24;4;10;480;3;0,25;0,5;0,5;1;0;4410;441;1500
25;3;11;570;2;0,25;0,5;0,5;1;0;4120;412;1500
26;3;12;560;3;0,25;0,5;0,5;1;0;3800;380;1500
27;5;12;600;6;0,25;0,5;0,5;1;0;3690;369;1500
28;4;13;480;16;0,25;0,5;0,5;1;0;3500;350;1500
29;3;14;560;6;0,25;0,5;0,5;1;0;3380;338;1500
30;2;14;570;18;0,25;0,5;0,5;1;0;3120;312;1500
31;5;16;550;9;0,25;0,5;0,5;1;0;2940;294;1500
32;4;16;590;9;0,25;0,5;0,5;1;0;2750;275;1500
33;3;18;560;6;0,25;0,5;0,5;1;0;2610;261;1500
34;3;18;390;4;0,25;0,5;0,5;1;0;2510;251;1500
35;5;20;470;4;0,25;0,5;0,5;1;0;2360;236;1500
36;4;23;420;8;0,25;0,5;0,5;1;0;2200;220;1500
37;3;23;430;12;0,25;0,5;0,5;1;0;2200;220;1500
38;4;27;440;6;0,25;0,5;0,5;1;0;2110;211;1500
39;6;30;450;18;0,25;0,5;0,5;1;0;1960;196;1500
40;4;30;400;54;0,25;0,5;0,5;1;0;1920;192;1500
41;4;32;420;18;0,25;0,5;0,5;1;0;1780;178;1500
42;4;33;390;12;0,25;0,5;0,5;1;0;1670;167;1500
43;3;33;370;12;0,25;0,5;0,5;1;0;1650;165;1500
44;3;35;360;8;0,25;0,5;0,5;1;0;1600;160;1500
45;2;37;370;12;0,25;0,5;0,5;1;0;1500;150;1500
46;5;37;370;12;0,25;0,5;0,5;1;0;1470;147;1500
47;3;39;170;54;0,25;0,5;0,5;1;0;1420;142;1500
48;2;39;180;36;0,25;0,5;0,5;1;0;1320;132;1500
49;3;45;100;48;0,25;0,5;0,5;1;0;1220;122;1500
50;5;47;70;108;0,25;0,5;0,5;1;0;1190;119;1500
51;4;48;80;72;0,25;0,5;0,5;1;0;1150;115;1500
52;3;49;90;96;0,25;0,5;0,5;1;0;1100;110;1500
53;6;50;60;216;0,25;0,5;0,5;1;0;1050;105;1500
54;2;51;75;144;0,25;0,5;0,5;1;0;1020;102;1500
55;4;52;85;192;0,25;0,5;0,5;1;0;980;98;1500
56;5;53;55;432;0,25;0,5;0,5;1;0;950;95;1500
57;3;54;65;288;0,25;0,5;0,5;1;0;920;92;1500
58;6;55;70;384;0,25;0,5;0,5;1;0;890;89;1500
59;2;56;50;658;0,25;0,5;0,5;1;0;860;86;1500
60;4;57;45;576;0,25;0,5;0,5;1;0;830;83;1500
61;3;58;52;658;0,25;0,5;0,5;1;0;800;80;1500
62;5;59;48;658;0,25;0,5;0,5;1;0;770;77;1500
63;2;60;42;658;0,25;0,5;0,5;1;0;740;74;1500
64;4;61;38;658;0,25;0,5;0,5;1;0;710;71;1500
65;6;62;35;658;0,25;0,5;0,5;1;0;680;68;1500
66;3;63;40;658;0,25;0,5;0,5;1;0;650;65;1500
67;5;64;32;658;0,25;0,5;0,5;1;0;620;62;1500
68;2;65;30;658;0,25;0,5;0,5;1;0;590;59;1500
69;4;66;28;658;0,25;0,5;0,5;1;0;560;56;1500
70;6;67;25;658;0,25;0,5;0,5;1;0;530;53;1500
71;3;68;22;658;0,25;0,5;0,5;1;0;500;50;1500
72;5;69;20;658;0,25;0,5;0,5;1;0;470;47;1500
73;2;70;18;658;0,25;0,5;0,5;1;0;440;44;1500
74;4;71;16;658;0,25;0,5;0,5;1;0;410;41;1500
75;6;72;15;658;0,25;0,5;0,5;1;0;380;38;1500
76;3;73;14;658;0,25;0,5;0,5;1;0;350;35;1500
77;5;74;12;658;0,25;0,5;0,5;1;0;320;32;1500
78;2;75;10;658;0,25;0,5;0,5;1;0;290;29;1500
79;4;76;8;658;0,25;0,5;0,5;1;0;260;26;1500
80;6;77;6;658;0,25;0,5;0,5;1;0;230;23;1500
81;3;78;5;658;0,25;0,5;0,5;1;0;200;20;1500
82;5;79;4;658;0,25;0,5;0,5;1;0;170;17;1500
83;2;80;3;658;0,25;0,5;0,5;1;0;140;14;1500
84;4;81;2;658;0,25;0,5;0,5;1;0;110;11;1500
85;6;82;2;658;0,25;0,5;0,5;1;0;80;8;1500
86;3;83;1;658;0,25;0,5;0,5;1;0;60;6;1500
87;5;84;1;658;0,25;0,5;0,5;1;0;50;5;1500
88;2;85;1;658;0,25;0,5;0,5;1;0;40;4;1500
89;4;86;1;658;0,25;0,5;0,5;1;0;30;3;1500
90;6;87;1;658;0,25;0,5;0,5;1;0;25;2,5;1500
91;3;88;1;658;0,25;0,5;0,5;1;0;20;2;1500
92;5;89;1;658;0,25;0,5;0,5;1;0;15;1,5;1500
93;2;90;1;658;0,25;0,5;0,5;1;0;12;1,2;1500
94;4;91;1;658;0,25;0,5;0,5;1;0;10;1;1500
95;6;92;1;658;0,25;0,5;0,5;1;0;8;0,8;1500
96;3;93;1;658;0,25;0,5;0,5;1;0;6;0,6;1500
97;5;94;1;658;0,25;0,5;0,5;1;0;5;0,5;1500
98;2;95;1;658;0,25;0,5;0,5;1;0;4;0,4;1500
99;4;96;1;658;0,25;0,5;0,5;1;0;3;0,3;1500
100;6;97;1;658;0,25;0,5;0,5;1;0;2;0,2;1500
