ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;10000;1;0,25;0,5;0,8;1;0;20000;2000;1500
2;5;1;900;1;0,25;0,5;0,8;1;0;18812;1881,2;1500
3;7;1;890;1;0,25;0,5;0,8;1;0;17799;1779,9;1500
4;6;1;910;1;0,25;0,5;0,8;1;0;17616;1761,6;1500
5;4;1;860;2;0,25;0,5;0,8;1;0;17178;1717,8;1500
6;4;2;880;3;0,25;0,5;0,8;1;0;17044;1704,4;1500
7;3;2;800;2;0,25;0,5;0,8;1;0;15731;1573,1;1500
8;3;2;780;1;0,25;0,5;0,8;1;0;15412;1541,2;1500
9;3;3;790;2;0,25;0,5;0,8;1;0;13995;1399,5;1500
10;4;3;750;3;0,25;0,5;0,8;1;0;13604;1360,4;1500
11;3;4;690;2;0,25;0,5;0,8;1;0;13325;1332,5;1500
12;5;4;660;3;0,25;0,5;0,8;1;0;12379;1237,9;1500
13;5;5;600;8;0,25;0,5;0,8;1;0;11888;1188,8;1500
14;4;5;640;6;0,25;0,5;0,8;1;0;11691;1169,1;1500
15;2;5;700;2;0,25;0,5;0,8;1;0;10558;1055,8;1500
16;4;6;660;9;0,25;0,5;0,8;1;0;10353;1035,3;1500
17;6;6;580;6;0,25;0,5;0,8;1;0;10146;1014,6;1500
18;3;7;550;2;0,25;0,5;0,8;1;0;9525;952,5;1500
19;3;8;570;1;0,25;0,5;0,8;1;0;8714;871,4;1500
20;5;8;600;2;0,25;0,5;0,8;1;0;8520;852;1500
21;7;9;540;6;0,25;0,5;0,8;1;0;7944;794,4;1500
22;6;9;510;4;0,25;0,5;0,8;1;0;7813;781,3;1500
23;3;9;590;4;0,25;0,5;0,8;1;0;7420;742;1500
24;4;10;400;3;0,25;0,5;0,8;1;0;7325;732,5;1500
25;3;11;490;2;0,25;0,5;0,8;1;0;6676;667,6;1500
26;3;12;480;3;0,25;0,5;0,8;1;0;6224;622,4;1500
27;5;12;520;6;0,25;0,5;0,8;1;0;6108;610,8;1500
28;4;13;400;16;0,25;0,5;0,8;1;0;5852;585,2;1500
29;3;14;480;6;0,25;0,5;0,8;1;0;5689;568,9;1500
30;2;14;490;18;0,25;0,5;0,8;1;0;5169;516,9;1500
31;5;16;460;9;0,25;0,5;0,8;1;0;4902;490,2;1500
32;4;16;500;9;0,25;0,5;0,8;1;0;4579;457,9;1500
33;3;18;470;6;0,25;0,5;0,8;1;0;4126;412,6;1500
34;3;18;300;4;0,25;0,5;0,8;1;0;3724;372,4;1500
35;2;20;380;4;0,25;0,5;0,8;1;0;3380;338;1500
36;5;20;330;4;0,25;0,5;0,8;1;0;3249;324,9;1500
37;4;22;340;12;0,25;0,5;0,8;1;0;3231;323,1;1500
38;3;22;350;4;0,25;0,5;0,8;1;0;2970;297;1500
39;5;23;360;4;0,25;0,5;0,8;1;0;2907;290,7;1500
40;1;23;310;12;0,25;0,5;0,8;1;0;2849;284,9;1500
41;4;27;330;12;0,25;0,5;0,8;1;0;2622;262,2;1500
42;2;27;290;12;0,25;0,5;0,8;1;0;2367;236,7;1500
43;6;30;270;36;0,25;0,5;0,8;1;0;2134;213,4;1500
44;4;30;260;54;0,25;0,5;0,8;1;0;1933;193,3;1500
45;3;32;270;9;0,25;0,5;0,8;1;0;1763;176,3;1500
46;1;32;270;9;0,25;0,5;0,8;1;0;1697;169,7;1500
47;3;32;300;27;0,25;0,5;0,8;1;0;1668;166,8;1500
48;4;33;280;12;0,25;0,5;0,8;1;0;1520;152;1500
49;2;33;290;24;0,25;0,5;0,8;1;0;1482;148,2;1500
50;3;35;230;8;0,25;0,5;0,8;1;0;1472;147,2;1500
51;6;35;240;12;0,25;0,5;0,8;1;0;1386;138,6;1500
52;2;37;260;48;0,25;0,5;0,8;1;0;1280;128;1500
53;1;37;250;60;0,25;0,5;0,8;1;0;1190;119;1500
54;4;37;245;24;0,25;0,5;0,8;1;0;1168;116,8;1500
55;3;38;220;12;0,25;0,5;0,8;1;0;1059;105,9;1500
56;6;38;240;16;0,25;0,5;0,8;1;0;988;98,8;1500
57;2;38;250;20;0,25;0,5;0,8;1;0;892;89,2;1500
58;1;39;230;8;0,25;0,5;0,8;1;0;878;87,8;1500
59;4;39;270;12;0,25;0,5;0,8;1;0;800;80;1500
60;2;39;260;16;0,25;0,5;0,8;1;0;745;74,5;1500
61;3;40;200;60;0,25;0,5;0,8;1;0;744;74,4;1500
62;5;40;240;24;0,25;0,5;0,8;1;0;677;67,7;1500
63;1;46;210;27;0,25;0,5;0,8;1;0;667;66,7;1500
64;4;46;190;36;0,25;0,5;0,8;1;0;661;66,1;1500
65;8;50;240;40;0,25;0,5;0,8;1;0;641;64,1;1500
66;3;50;230;16;0,25;0,5;0,8;1;0;613;61,3;1500
67;4;50;200;24;0,25;0,5;0,8;1;0;567;56,7;1500
68;5;52;210;192;0,25;0,5;0,8;1;0;528;52,8;1500
69;3;59;180;60;0,25;0,5;0,8;1;0;504;50,4;1500
70;2;62;200;48;0,25;0,5;0,8;1;0;487;48,7;1500
71;3;64;190;108;0,25;0,5;0,8;1;0;452;45,2;1500
72;5;66;210;64;0,25;0,5;0,8;1;0;450;45;1500
73;2;67;180;120;0,25;0,5;0,8;1;0;441;44,1;1500
74;4;67;170;48;0,25;0,5;0,8;1;0;431;43,1;1500
75;2;69;150;180;0,25;0,5;0,8;1;0;408;40,8;1500
76;7;69;110;240;0,25;0,5;0,8;1;0;390;39;1500
77;3;73;50;600;0,25;0,5;0,8;1;0;366;36,6;1500
78;6;73;40;240;0,25;0,5;0,8;1;0;357;35,7;1500
79;5;74;30;144;0,25;0,5;0,8;1;0;346;34,6;1500
80;10;79;20;576;0,25;0,5;0,8;1;0;325;32,5;1500
